"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","118.88","122.16","123.38","118.45","46.16M","-2.08%"
"12/18/2024","121.41","125.43","127.75","120.43","49.72M","-2.89%"
"12/17/2024","125.02","124.45","127.08","123.15","43.31M","-1.32%"
"12/16/2024","126.69","126.01","127.76","123.12","42.09M","-0.17%"
"12/13/2024","126.91","131.30","131.30","124.77","67.54M","-2.83%"
"12/12/2024","130.60","130.00","132.32","129.07","34.27M","0.35%"
"12/11/2024","130.15","128.52","131.21","126.22","45.59M","1.89%"
"12/10/2024","127.74","131.56","131.56","127.07","38.91M","-2.39%"
"12/09/2024","130.87","135.71","135.77","130.00","57.06M","-5.57%"
"12/06/2024","138.59","141.48","142.79","137.40","33.58M","-1.96%"
"12/05/2024","141.36","143.68","143.95","140.38","29.58M","-1.83%"
"12/04/2024","143.99","142.96","144.12","141.18","25.94M","1.42%"
"12/03/2024","141.98","142.58","143.45","141.08","22.67M","-0.06%"
"12/02/2024","142.06","137.91","142.82","137.80","33.10M","3.56%"
"11/29/2024","137.18","136.24","138.59","135.78","16.09M","0.69%"
"11/27/2024","136.24","137.20","137.94","132.96","30.18M","-1.07%"
"11/26/2024","137.72","142.55","142.80","136.62","32.09M","-2.42%"
"11/25/2024","141.13","140.49","142.35","139.05","30.92M","2.01%"
"11/22/2024","138.35","137.35","139.13","137.04","21.78M","0.63%"
"11/21/2024","137.49","138.87","140.28","134.93","29.31M","-0.08%"
"11/20/2024","137.60","138.96","140.77","135.48","28.84M","-1.28%"
"11/19/2024","139.39","137.41","139.75","137.14","23.13M","0.33%"
"11/18/2024","138.93","138.18","140.90","137.21","38.78M","2.99%"
"11/15/2024","134.90","136.57","137.35","133.65","44.22M","-2.84%"
"11/14/2024","138.84","140.34","141.40","138.56","31.68M","-0.33%"
"11/13/2024","139.30","142.86","144.49","139.07","35.15M","-3.01%"
"11/12/2024","143.63","147.00","147.45","141.55","33.56M","-2.52%"
"11/11/2024","147.35","147.38","148.57","144.91","29.87M","-0.41%"
"11/08/2024","147.95","149.39","150.71","147.52","27.56M","-1.25%"
"11/07/2024","149.82","146.68","150.12","145.66","30.33M","3.25%"
"11/06/2024","145.10","144.95","145.63","141.52","32.91M","2.43%"
"11/05/2024","141.66","141.94","143.08","140.80","27.07M","0.68%"
"11/04/2024","140.71","141.70","143.64","139.72","29.12M","-0.81%"
"11/01/2024","141.86","144.44","144.54","141.32","39.03M","-1.53%"
"10/31/2024","144.07","147.80","148.68","143.33","44.39M","-3.05%"
"10/30/2024","148.60","153.01","153.12","148.10","87.70M","-10.62%"
"10/29/2024","166.25","161.10","167.51","158.94","71.90M","3.96%"
"10/28/2024","159.92","158.50","160.28","157.04","36.01M","2.36%"
"10/25/2024","156.23","155.40","158.91","155.05","29.76M","1.82%"
"10/24/2024","153.44","154.74","155.19","152.35","22.88M","0.35%"
"10/23/2024","152.91","153.00","153.45","150.52","26.10M","-0.77%"
"10/22/2024","154.09","156.60","156.74","151.91","35.00M","-2.41%"
"10/21/2024","157.90","155.76","158.00","154.15","25.78M","1.24%"
"10/18/2024","155.97","157.41","158.01","155.56","23.82M","-0.18%"
"10/17/2024","156.25","160.00","160.44","156.20","29.49M","0.08%"
"10/16/2024","156.13","158.07","158.28","154.92","30.58M","-0.33%"
"10/15/2024","156.64","163.21","164.13","155.74","50.77M","-5.22%"
"10/14/2024","165.27","167.77","168.90","165.15","31.76M","-1.56%"
"10/11/2024","167.89","164.18","169.35","163.01","42.14M","2.26%"
"10/10/2024","164.18","169.76","172.01","162.00","75.11M","-4.00%"
"10/09/2024","171.02","174.05","174.05","169.55","33.89M","-1.03%"
"10/08/2024","172.80","171.75","173.60","170.00","34.73M","1.07%"
"10/07/2024","170.97","171.08","172.41","168.21","38.38M","0.04%"
"10/04/2024","170.90","166.53","171.21","164.42","44.64M","4.94%"
"10/03/2024","162.85","159.71","166.79","159.40","29.60M","1.92%"
"10/02/2024","159.78","159.31","163.10","158.67","24.63M","0.02%"
"10/01/2024","159.75","164.48","165.40","158.08","31.83M","-2.64%"
"09/30/2024","164.08","163.10","165.08","162.18","21.92M","-0.16%"
"09/27/2024","164.35","167.48","168.73","163.74","27.88M","-1.87%"
"09/26/2024","167.49","167.05","168.68","164.05","38.04M","3.38%"
"09/25/2024","162.02","158.50","162.95","158.18","35.23M","2.34%"
"09/24/2024","158.32","157.46","159.64","154.58","27.53M","1.00%"
"09/23/2024","156.75","156.45","157.19","154.97","21.73M","0.51%"
"09/20/2024","155.95","156.00","157.45","152.47","40.25M","-0.50%"
"09/19/2024","156.74","153.81","159.25","152.77","44.50M","5.70%"
"09/18/2024","148.29","150.90","152.82","148.01","26.32M","-1.68%"
"09/17/2024","150.82","153.55","154.04","149.23","29.89M","-0.83%"
"09/16/2024","152.08","151.70","154.44","150.91","27.68M","-0.15%"
"09/13/2024","152.31","152.32","153.03","150.70","25.12M","1.02%"
"09/12/2024","150.77","148.43","151.54","147.65","29.29M","0.61%"
"09/11/2024","149.86","145.32","150.16","140.71","50.94M","4.91%"
"09/10/2024","142.84","139.06","143.08","137.25","37.22M","3.39%"
"09/09/2024","138.15","136.10","138.45","134.86","27.19M","2.83%"
"09/06/2024","134.35","138.70","139.13","132.11","39.99M","-3.65%"
"09/05/2024","139.44","138.20","141.71","137.83","25.02M","-1.02%"
"09/04/2024","140.87","140.51","143.37","138.51","42.13M","2.87%"
"09/03/2024","136.94","146.41","146.49","136.10","42.17M","-7.82%"
"08/30/2024","148.56","147.52","148.99","145.25","31.17M","2.11%"
"08/29/2024","145.49","146.59","149.49","144.47","31.60M","-0.59%"
"08/28/2024","146.36","149.40","150.43","144.72","34.08M","-2.75%"
"08/27/2024","150.50","150.13","151.70","148.44","35.10M","0.34%"
"08/26/2024","149.99","154.70","158.28","148.91","49.89M","-3.22%"
"08/23/2024","154.98","153.60","156.40","151.83","43.69M","2.16%"
"08/22/2024","151.70","158.87","159.84","151.01","45.74M","-3.87%"
"08/21/2024","157.81","156.12","158.65","155.07","42.79M","0.90%"
"08/20/2024","156.40","156.49","162.04","154.51","76.85M","0.72%"
"08/19/2024","155.28","148.43","155.37","147.72","60.77M","4.52%"
"08/16/2024","148.56","145.70","149.37","145.20","31.12M","0.81%"
"08/15/2024","147.36","143.00","147.96","141.81","43.58M","4.70%"
"08/14/2024","140.75","143.00","143.25","137.64","35.51M","-0.27%"
"08/13/2024","141.13","138.12","141.19","137.52","42.22M","3.19%"
"08/12/2024","136.77","134.44","137.99","133.23","39.72M","1.86%"
"08/09/2024","134.27","134.69","135.50","132.44","40.58M","-1.50%"
"08/08/2024","136.32","131.97","136.48","128.94","49.04M","5.95%"
"08/07/2024","128.67","133.75","136.24","128.37","54.68M","-1.16%"
"08/06/2024","130.18","135.15","136.44","129.10","64.46M","-3.44%"
